NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,,0.098700,0.116259,0.128762,0.142533,0.146384,0.137852,0.166762,0.125315,0.136783,0.153484,0.143574,0.144334
BE21,Prov. Antwerpen,,0.116814,0.155571,0.189596,0.212633,0.228553,0.198040,0.470473,0.335376,0.183737,0.214230,0.177026,0.147657
BE22,Prov. Limburg (BE),,0.117810,0.150595,0.183359,0.255248,0.253340,0.192259,0.519313,0.403779,0.198161,0.200645,0.185202,0.156907
BE23,Prov. Oost-Vlaanderen,,0.057903,0.086155,0.113328,0.119015,0.129682,0.109975,0.207482,0.149081,0.112549,0.115477,0.097058,0.075523
BE24,Prov. Vlaams-Brabant,,0.057752,0.075048,0.088749,0.096872,0.098647,0.087286,0.187616,0.122246,0.094502,0.099037,0.088493,0.074286
BE25,Prov. West-Vlaanderen,,0.199581,0.285560,0.454126,0.582109,0.774992,0.743883,1.233240,1.285364,0.770862,0.559731,0.356899,0.399415
BE31,Prov. Brabant wallon,,0.019570,0.023275,0.024081,0.023884,0.029475,0.026722,0.025166,0.025590,0.026410,0.026957,0.024666,0.019687
BE32,Prov. Hainaut,,0.034272,0.042039,0.055222,0.062724,0.073583,0.054911,0.088373,0.072518,0.060178,0.064963,0.050469,0.049353
BE33,Prov. Liège,,0.080512,0.090512,0.104320,0.123994,0.131672,0.107261,0.192332,0.174737,0.110410,0.131963,0.110668,0.103904
BE34,Prov. Luxembourg (BE),,0.082566,0.092633,0.108605,0.139865,0.181612,0.133391,0.285962,0.267529,0.131903,0.137357,0.131723,0.115176
BE35,Prov. Namur,,0.038399,0.051769,0.065772,0.086221,0.099326,0.077563,0.162253,0.137175,0.084474,0.083139,0.070099,0.056334
BG31,Severozapaden,,0.033948,0.044024,0.048198,0.055638,0.057092,0.062801,0.072041,0.081741,0.057385,0.054954,0.048544,0.047138
BG32,Severen tsentralen,,0.031371,0.038006,0.051287,0.058793,0.060938,0.065102,0.068643,0.073254,0.062004,0.053188,0.052400,0.044271
BG33,Severoiztochen,,0.039106,0.053137,0.055068,0.071213,0.090463,0.186901,0.393756,0.407157,0.205698,0.068603,0.058369,0.053935
BG34,Yugoiztochen,,0.074583,0.078380,0.086927,0.089604,0.137041,0.477218,1.035766,1.066090,0.444672,0.102865,0.105300,0.087680
BG41,Yugozapaden,,0.195331,0.228812,0.223670,0.212957,0.182215,0.199340,0.243007,0.298833,0.219067,0.200633,0.211663,0.226857
BG42,Yuzhen tsentralen,,0.234655,0.299453,0.267814,0.239253,0.212896,0.236597,0.313150,0.366033,0.257821,0.236835,0.234948,0.254023
CZ01,Praha,,0.174393,0.196114,0.235731,0.205664,0.217170,0.224286,0.236419,0.218270,0.208655,0.243345,0.249457,0.204962
CZ02,Střední Čechy,,0.080420,0.103323,0.137160,0.148554,0.215662,0.238731,0.460620,0.451358,0.225267,0.157587,0.134597,0.092249
CZ03,Jihozápad,,0.179152,0.262842,0.247355,0.236985,0.410615,0.517765,1.121186,1.036858,0.415528,0.302063,0.192770,0.159201
CZ04,Severozápad,,0.147866,0.202631,0.218460,0.222178,0.310848,0.345316,0.492575,0.483887,0.310966,0.292011,0.238520,0.169869
CZ05,Severovýchod,,0.536636,0.652771,0.496949,0.327138,0.604891,0.745064,1.311427,1.286654,0.565310,0.461465,0.301165,0.331608
CZ06,Jihovýchod,,0.136920,0.183060,0.236199,0.252284,0.374926,0.452952,0.859327,0.819919,0.386807,0.314407,0.242615,0.153134
CZ07,Střední Morava,,0.178406,0.268988,0.251933,0.253407,0.351141,0.383848,0.584216,0.585144,0.318758,0.302028,0.235982,0.157679
CZ08,Moravskoslezsko,,0.143539,0.168080,0.153543,0.146532,0.186629,0.214070,0.348287,0.322228,0.180905,0.171492,0.133882,0.110187
DK01,Hovedstaden,,0.368498,0.380497,0.479919,0.528882,0.662969,0.714084,0.858046,0.766394,0.645149,0.553168,0.477324,0.438971
DK02,Sjælland,,0.087305,0.114897,0.144911,0.199874,0.279319,0.287178,0.528152,0.351980,0.225803,0.166594,0.113317,0.083743
DK03,Syddanmark,,0.241049,0.306800,0.408377,0.474837,0.663531,0.657886,1.243662,0.788009,0.593636,0.494481,0.376302,0.248897
DK04,Midtjylland,,0.154797,0.205520,0.268164,0.325151,0.467996,0.471798,0.881115,0.568132,0.376290,0.287704,0.239915,0.157809
DK05,Nordjylland,,0.105769,0.154860,0.212399,0.255616,0.375227,0.388269,0.788583,0.476014,0.327293,0.262170,0.169633,0.135541
DE11,Stuttgart,,0.631595,0.717614,0.822537,0.831328,0.873326,0.895881,1.020993,0.902063,0.945682,0.956123,0.826115,0.695259
DE12,Karlsruhe,,0.460838,0.500428,0.661532,0.687259,0.809644,0.781103,0.832180,0.845891,0.823474,0.830587,0.647708,0.572742
DE13,Freiburg,,0.539825,0.564253,0.846656,0.932185,1.358833,1.181056,1.425524,1.638738,1.257108,1.234756,0.676067,0.749461
DE14,Tübingen,,0.364084,0.365649,0.531879,0.583445,0.871394,0.783796,0.920928,1.066027,0.798955,0.699317,0.449155,0.405331
DE21,Oberbayern,,1.668605,1.860931,2.048844,2.045684,2.832013,2.851472,3.644050,3.768242,2.908761,2.833688,1.863006,1.979769
DE22,Niederbayern,,0.441421,0.542313,0.626214,0.599335,0.872342,0.741790,0.873015,1.030611,0.864976,0.850733,0.545080,0.497945
DE23,Oberpfalz,,0.210913,0.249481,0.295093,0.301880,0.450001,0.389727,0.490853,0.536834,0.407179,0.408633,0.260262,0.259891
DE24,Oberfranken,,0.176213,0.206208,0.292105,0.321738,0.456911,0.415020,0.469030,0.480902,0.425293,0.400777,0.251638,0.221001
DE25,Mittelfranken,,0.290504,0.340546,0.470095,0.497862,0.692462,0.689382,0.798763,0.786329,0.636536,0.620703,0.458706,0.458810
DE26,Unterfranken,,0.218611,0.250518,0.350404,0.382099,0.550947,0.519455,0.564770,0.567029,0.528394,0.499579,0.337617,0.288146
DE27,Schwaben,,0.734572,0.811847,0.827771,0.778550,1.295636,1.191939,1.619766,1.828800,1.335190,1.256607,0.548905,0.708307
DE30,Berlin,,1.079175,1.218058,1.500146,1.480113,1.645014,1.490623,1.541761,1.590902,1.554706,1.742525,1.495737,1.273152
DE40,Brandenburg,,0.419625,0.519383,0.734853,0.807925,1.327111,1.263915,1.577823,1.528324,1.156312,1.036366,0.623982,0.534992
DE50,Bremen,,0.122248,0.151426,0.189559,0.182132,0.216782,0.201216,0.191031,0.221247,0.210781,0.214997,0.192650,0.180511
DE60,Hamburg,,0.726622,0.849047,1.083776,1.046944,1.178247,0.996330,1.101971,1.213412,1.003628,1.125761,0.988505,0.985425
DE71,Darmstadt,,0.975142,0.955792,1.141074,1.138945,1.233109,1.351829,1.366780,1.245162,1.399248,1.327990,1.221772,1.029670
DE72,Gießen,,0.087781,0.104103,0.137343,0.146086,0.218648,0.210340,0.233202,0.240904,0.195382,0.175136,0.137528,0.108976
DE73,Kassel,,0.310872,0.339013,0.428062,0.453112,0.648043,0.598464,0.633291,0.669238,0.581399,0.551615,0.401192,0.342418
DE80,Mecklenburg-Vorpommern,,0.692018,0.941004,1.620116,1.537103,2.932955,3.382945,4.915335,4.886260,3.144638,2.483634,0.998005,1.097185
DE91,Braunschweig,,0.323348,0.379408,0.445495,0.435146,0.554293,0.501903,0.503340,0.557044,0.525007,0.568321,0.409091,0.405798
DE92,Hannover,,0.275365,0.310080,0.389510,0.444441,0.567648,0.564299,0.547927,0.615055,0.541288,0.476310,0.416663,0.307636
DE93,Lüneburg,,0.306599,0.354431,0.609474,0.653531,1.036904,0.909938,1.142191,1.319428,0.947790,0.902381,0.439490,0.385867
DE94,Weser-Ems,,0.432434,0.544197,1.088531,1.215570,1.927147,1.777962,2.331462,2.447519,1.786563,1.543970,0.657528,0.589688
DEA1,Düsseldorf,,0.604588,0.574923,0.738609,0.756252,0.817625,0.868708,0.803623,0.818721,0.855201,0.810575,0.781250,0.623880
DEA2,Köln,,0.608313,0.676712,0.814344,0.877085,0.955267,0.880550,0.882365,0.988562,0.931745,0.943685,0.850046,0.700444
DEA3,Münster,,0.218306,0.233123,0.304361,0.310982,0.423821,0.383785,0.368913,0.401808,0.387125,0.380250,0.314796,0.249883
DEA4,Detmold,,0.176288,0.195188,0.259311,0.270124,0.362383,0.344778,0.357040,0.380503,0.345922,0.326088,0.257336,0.221542
DEA5,Arnsberg,,0.437204,0.450862,0.558145,0.572191,0.695126,0.637196,0.665349,0.694409,0.658681,0.718828,0.552459,0.473606
DEB1,Koblenz,,0.203876,0.230507,0.385586,0.454598,0.727632,0.642374,0.664398,0.785198,0.706528,0.636622,0.326056,0.282125
DEB2,Trier,,0.137960,0.149519,0.289786,0.300426,0.498664,0.387354,0.431547,0.497188,0.443722,0.465506,0.208551,0.201333
DEB3,Rheinhessen-Pfalz,,0.231046,0.263251,0.399057,0.418343,0.524460,0.493930,0.497113,0.525376,0.537161,0.504363,0.357318,0.283863
DEC0,Saarland,,0.101518,0.108322,0.143358,0.148969,0.189890,0.190558,0.196494,0.222472,0.180427,0.178157,0.124143,0.113849
DED2,Dresden,,0.285977,0.358736,0.559052,0.577976,0.890134,0.766749,0.804105,0.893329,0.754161,0.771004,0.480169,0.610100
DED4,Chemnitz,,0.211555,0.271725,0.249327,0.242887,0.344833,0.310833,0.350269,0.356248,0.328862,0.324019,0.242792,0.305384
DED5,Leipzig,,0.213659,0.253406,0.350743,0.351319,0.426226,0.354443,0.380163,0.424102,0.390610,0.388221,0.323457,0.298739
DEE0,Sachsen-Anhalt,,0.274747,0.342382,0.471731,0.518921,0.738631,0.678759,0.729829,0.758167,0.684230,0.670261,0.417231,0.413352
DEF0,Schleswig-Holstein,,0.852339,1.031130,1.956636,1.981820,3.600675,3.717740,5.153088,5.448579,3.523961,2.847783,1.174024,1.250762
DEG0,Thüringen,,0.351150,0.414336,0.543231,0.557859,0.827820,0.730193,0.796795,0.933437,0.717115,0.720844,0.498782,0.489554
EE00,Eesti,,0.184860,0.197729,0.202684,0.200586,0.222414,0.307121,0.430222,0.372028,0.211648,0.224186,0.206460,0.217995
IE04,Northern and Western,,0.109001,0.229999,0.375999,0.220000,0.362000,0.869001,0.764001,1.215999,0.516000,0.285999,0.252001,0.247998
